body,actor,postID,likes,time,class,absTime,updateTime
Looking good Sarah!,jessica_bh,1,12,-179:30:00,,,
You got this!,connor_dude,1,8,-179:00:00,,,
Good luck with the competition Molly!,emmazing2k7,2,6,-164:30:00,,,
Your team is so talented!,riley_2024,2,4,-164:00:00,,,
Squad goals!,madison_vh,3,15,-149:30:00,,,
Wish I could make it tonight!,emmazing2k7,4,3,-119:30:00,,,
Have fun!,ashley_cool,4,5,-119:00:00,,,
LMAOOO this is so embarrassing,jessica_bh,7,78,-44:30:00,,,
OMG Sarah where did you find this! So funny,madison_vh,7,45,-44:15:00,,,
Why would you post this? This is really mean.,emmazing2k7,7,23,-44:00:00,,,
Some people really think they're all that,ashley_cool,7,32,-43:45:00,,,
Sarah this is your best friend. Why are you doing this?,riley_2024,7,18,-43:30:00,,,
Finally someone shows Molly she's not as perfect as she thinks,connor_dude,7,21,-43:15:00,,,
Molly I'm so sorry this happened to you. You don't deserve this.,emmazing2k7,8,12,-29:30:00,,,
This is not okay. Bullying hurts real people.,riley_2024,8,8,-29:00:00,,,
