body,actor,postID,likes,time,class
this doesn't make you sound as cool as you think it does bruh,fearlesstaylor,1,2,-0:43,
delete this ugly nobody cares about what you think ,amie_barrie,1,,-0:43,
if i see you were going to have a CIVIL conversation in the parking lot,s0ngsaboutme,1,,-0:30,
sure keep up with the delulu 👀😂,eli27094jdkm,1,,-0:24,
lol and you think YOU can do better?,taylorandsons_,1,,-0:20,
look at this idiot trying to be edge with their *opinions*,takeme_church,1,,-0:13,
stop pretending like you're better than everyone else because you don't like taylor lmfao people like you are why i hate kpop stans 🙄 you think you're being so cool and edgy but NO,lkj1xm98gj,1,,-0:08,
🔥🔥🔥🔥🔥🔥🔥🔥,butter.me.up,1,,-0:02,
seconds before disaster indeed,fearlesstaylor,2,,-0:30,
dude this isn't cool delete this,takeme_church,2,1,-0:16,
@Zachary No 💕,melaniemartinez,2,,-0:14,
bruh really looks like an idiot here lmaooo,butter.me.up,2,3,-0:09,
checks out only dude stupid enough to trip on solid ground and break their nose 😂,s0ngsaboutme,2,,-0:03,
that looks disgusting lmao,eli27094jdkm,3,,-0:43,
omg share the recipee!! can't wait to try it for myself,amyoko_,3,,-0:30,
this looks like dog food and tbh i expect nothing better from people that eats dogs😂 you people are disgusting,lkj1xm98gj,3,,-0:24,
#savethedogs 🐕,lkj1xm98gj,3,,-0:08,
a certified chef i see 👀,s0ngsaboutme,3,,-0:08,
all my fav people in the photo 💕 loved the party,eli27094jdkm,4,3,-0:30,
hey why did you crop me out of the photo??,amyoko_,4,,-0:24,
also I didn’t see anything in the gc please text me back when you see this,amyoko_,4,,-0:23,
omg you look so gorgeous 👑 love the pic too,s0ngsaboutme,4,1,-0:17,
why’d you choose a pic that makes me look freaky hahahahaha,amie_barrie,4,2,-0:08,
@Amie literally dk what you mean you look cute,hyemincho,4,,-0:01,
