body,actor,postID,likes,time,class,absTime,updateTime

"The ring... James?",charlem,1,2,-230:00,,,

"power couple energy!",emfan_kelly,2,34,-209:00,,,
"AWWW my heart 💕💘",its.kat,2,46,-209:00,,,
"real love is rare... y’all ate",jackyates33,2,27,-209:00,,,

"SOUL MATESS",its.kat,4,33,-133:30,,,
"I miss this day already 🥺",Kelly890,4,45,-133:00,,,

"forever and ever and ever 💋",Kelly890,5,62,-132:30,,,
"we need another girls night",emfan_kelly,5,39,-132:00,,,


"LITERALLY SLAYYYY 💖💖💖",its.kat,8,18,-71:00,,,
"You look amazing, Queen 👑✨✨",emfan_kelly,8,12,-71:00,,,
"nah this girl acting like she's on a Disney cruise when the whole school seen the private snaps 💀💀 sit down Kelly fr",real_jane,8,119,-0:34,,,
"no one deserves their stuff leaked... but maybe think twice before sending that kinda thing. ppl suck.",charlem,8,4,-0:33,,,
"Girl really out here giving Titanic vibes 🚢💏 ",justAGuy,8,330,-0:32,,,
"EVERYONE LITERALLY STOP. THIS IS NOT FUNNY AND I WILL CALL THE POLICE",emfan_kelly,8,12,-00:29,,,



"okay Mr. Motivation we see you 🔥",omar007,10,9,-2:40,,,
"looking good my guy",jackyates33,10,5,-1:00,,,
"Get over yourself Kyle. No one cares.",its.kat,10,4,-2:30,,,
"disgusting incel",emfan_kelly,10,12,-00:31,,,

"Queen bee and peaches? Tell me more!",msmiller_teacher,11,0,-0:33,,,
"DELETE THIS NOW.....🤮",its.kat,11,7,-0:32,,,
"Good job my man @Kyle",jackyates33,11,119,-0:31,,,
"Kyle are you sure this is the right thing...",omar007,11,9,-0:31,,,
"Now we see the REAL Queen Bee loll",real_jane,11,45,-0:31,,,
"what the ACTUAL hell is wrong with you??",charlem,11,1,-0:30,,,
"DELETE NOW OR ILL KILL YOU",emfan_kelly,11,12,-00:30,,,
"Emily. That's not nice language...",msmiller_teacher,11,0,-0:29,,,
"Not gonna lie… I clicked 💀",jamie4real,11,7,-0:27,,,
"Stop making shit up bro... I don't even know you",kylex_football,11,7,-0:20,,,
"Not you tryna act innocent now Kyle. You are both going down",real_jane,11,19,-0:17,,,
