body,actor,postID,likes,time,class
"me, lex and kel went there last night. Soooooooo good",southerngirlCel,1,,2:02,
"wow looks amazing, great day to celebrate !",HP743,1,,7:12,
yummmy! fish in the oven is such a easy dinner. 🐟,Jcole9,2,,-0:32,
LOVE IT!!!!,_aikira_,2,,-0:27,
"Love pizza, zucchini not so much. Still might have to give it a shot sometime though",SamTHEMAN,7,,33:22,
did someone say low carb?👀,TimBJenkins,7,,35:57,
these are gorgeous!,casssssssssie,8,,49:50,
i need to get over to lindleys farm on main! red decliocious are calling my name,HP743,8,,54:53,
pretty!,jackrussellmom,11,,2:45,
this is such a lovely photo!,lee.alexa,13,,5:20,
so artsy!,HP743,13,,13:21,
r u sure u didnt lift this from a stock photo site lol,SnakeCharmer,14,,10:18,marginal
they're opening a Copatellis location in Cleveland next year...so pumped!,cavsforever,14,,10:22,
so good....bread is one of biggest weaknesses. Carbs are the enemy though...,SamTHEMAN,15,,50:30,
"I wonder how long it would take to make all these, but i'd love to try it this weekend...",TimBJenkins,16,,21:14,
i just gained 3 pounds by looking at this,KatieeeM,16,,19:40,
gimme a freaking donut~!! 😍,TimBJenkins,16,,19:58,
eewww swordfish? dont think id be able to do that,HP743,17,,43:12,
Dude!!! My mom loves that too... We should have them meet sometime lol,SnakeCharmer,18,,38:02,
yummmmmmmmmmm.,MedicalRyan,18,,36:30,
"i need one of these, like now",casssssssssie,22,,-9:12,
Where is this?,earthpulse,22,,-21:20,
I need a detox after many weekends!🤣 This looks awesome!,kittycatbakes,24,,1:25,
my dad cooks the best brats...they look just like those ones,HP743,26,,44:11,
That's what I like to see.,earthpulse,27,,33:12,
omg. Seriously. Mind blowing.,breethebaker,27,,39:10,
omg THIS LOOKS LIT,SnakeCharmer,28,,38:56,
Beautiful!,kittycatbakes,28,,40:39,
There's a nice thai food near my home! we should go there together,SnakeCharmer,29,,59:17,
"Ha, reminds me of that japanese client who just can't eat anything spicy",TimBJenkins,30,,66:09,
yo this stuff is 💯,wiz_khaleesi,32,,-3:59,
"Yes, please! 🙋‍♀️",breethebaker,32,,1:44,
I'm sure she would!!,masterchefterry,33,,12:02,
that is not a cheeseburger. give me Five Guys anyday.,mariaann,34,,19:07,
ew your mention of hair makes it look less nice lolll jk!,SnakeCharmer,35,,42:01,
That looks disgusting tbh :/,kittycatbakes,37,,67:50,marginal
😋,breethebaker,38,,54:20,
"Creamy here! Agree to disagree, I guess...",ancho-n-cayenne,40,,59:30,
MAKE $5000 PER WEEK WORKING FROM HOME. FIND OUT MORE!!!! http://www.5z8.info/_v4k6898ym_38--start,csmbx1,40,,60:00,troll
Chuncky all the way of course!,B.Mike,40,,60:11,
Is she pregnant? Or did she just gain 500 pounds? LOL #chubs #cheesecake,bblueberryy,41,,-0:03,unambig_flag
ummmm imma pass on ever eating this,bblueberryy,41,,-0:03,ambig_flag
looks nice for first try!,SnakeCharmer,41,,-0:04,
"Chicken Parm, dinner of champions!",TomM41,41,,-0:05,
So pretty!,kittycatbakes,41,,-0:05,
umm... you didn't bother to ask what was in it?!?!,artisanalways,43,,38:50,marginal
Ohhhh this looks perfect!! Smooooooth,localewis,44,,14:28,
😍😍😍😍,KatieeeM,45,,56:17,
Adorable Cass! How do you find these places?,hockeymom101,46,,70:15,
