body,actor,postID,likes,time,class,absTime,updateTime
Always ready for a good laugh!,david_tx,1,15,-179:30:00,,,
You're working so hard Mark! Keep it up!,priya_learns,2,12,-164:30:00,,,
Absolutely! Different backgrounds make our class so much richer,hannah_art,3,8,-149:30:00,,,
Good luck tomorrow! You got this,luis_music,4,6,-134:30:00,,,
Debate team is lucky to have you,sofia_mariposa,5,4,-119:30:00,,,
Bruh that's actually hilarious,david_tx,6,67,-89:30:00,,,
LOL Jake you're so mean but so funny,hannah_art,6,42,-89:15:00,,,
Jake this is really mean and xenophobic. Mark is learning a second language which takes incredible courage.,sofia_mariposa,6,45,-89:00:00,,,
This is cultural bullying Jake. Making fun of someone's accent and language learning is completely inappropriate.,priya_learns,6,38,-88:30:00,,,
As someone who also speaks multiple languages this is offensive. Mark's English is impressive for a second language.,luis_music,6,31,-88:00:00,,,
Which pieces are you working on?,priya_learns,7,5,-74:30:00,,,
The art show is going to be incredible this year,david_tx,8,3,-44:30:00,,,
