body,actor,postID,likes,time,class,absTime,updateTime
Great motivation as always Kelly!,sarah23,1,23,-179:30:00,11/15/25 7:35,11/15/25 7:35,
Consistency is key,miked,1,12,-179:00:00,11/15/25 7:40,11/15/25 7:40,
Congratulations! Your team worked so hard for this.,dlee89,2,8,-164:30:00,11/15/25 10:18,11/15/25 10:18,
So proud of you Sophia! Amazing achievement.,jessm,2,6,-164:00:00,11/15/25 10:20,11/15/25 10:20,
Their matcha latte is incredible,T1na,3,5,-149:30:00,11/15/25 12:33,11/15/25 12:33,
Adding this to my weekend list,dlee89,3,3,-149:00:00,11/15/25 12:35,11/15/25 12:35,
Can't wait to hear your speech tonight!,em_carter,4,52,-119:30:00,11/15/25 16:03,11/15/25 16:03,
You've got this Kelly,sarah23,4,37,-119:00:00,11/15/25 16:05,11/15/25 16:05,
Good luck tonight Sophia! Your ideas for mental health support are really important.,ashb12,5,4,-117:30:00,11/15/25 16:05,11/15/25 16:05,
So nervous but excited to share my platform,sophiaaa,5,3,-117:00:00,11/15/25 16:08,11/15/25 16:08,
Sounds like a perfect weekend,jessm,6,8,-89:30:00,11/15/25 18:33,11/15/25 18:33,
Beach volleyball is the best workout,ashb12,6,6,-89:00:00,11/15/25 18:35,11/15/25 18:35,
D&D is so fun! Great way to build problem-solving skills too.,dlee89,7,3,-74:30:00,11/15/25 20:48,11/15/25 20:48,
Our campaign is going amazing Sophia!,jessm,7,2,-74:00:00,11/15/25 20:50,11/15/25 20:50,
Glad you had a good time with family,ashb12,8,4,-44:30:00,11/16/25 2:18,11/16/25 2:18,
Family dinners can be surprisingly nice,mattwil,8,2,-44:00:00,11/16/25 2:20,11/16/25 2:20,
You're working so hard! Don't let anyone discourage you.,dlee89,9,4,-29:30:00,11/16/25 5:33,11/16/25 5:33,
Coffee solidarity! You've got this.,jessm,9,3,-29:00:00,11/16/25 5:35,11/16/25 5:35,
FINALLY someone said it! This is exactly what I was thinking,sarah23,10,89,-11:30:00,11/16/25 11:51,11/16/25 11:51,
Kelly's just being honest. Some people aren't leadership material and that's facts,miked,10,76,-11:00:00,11/16/25 11:53,11/16/25 11:53,
Why is everyone acting like appearance and social skills don't matter for president?,em_carter,10,54,-10:30:00,11/16/25 11:56,11/16/25 11:56,
Second place Sophie strikes again. Maybe try harder next time,sarah23,10,67,-10:15:00,11/16/25 11:58,11/16/25 11:58,
This is really hurtful Kelly. We used to be friends. What happened to you?,sophiaaa,10,8,-10:00:00,11/16/25 11:58,11/16/25 11:58,
At least someone has the guts to say what we're all thinking,miked,10,43,-9:45:00,11/16/25 12:00,11/16/25 12:00,
Kelly this is crossing a line. Sophia would make a great president and you know it.,T1na,10,3,-9:30:00,11/16/25 12:01,11/16/25 12:01,
Imagine thinking math competitions matter more than actual popularity and leadership,em_carter,10,38,-9:15:00,11/16/25 12:02,11/16/25 12:02,
Sophia has amazing ideas and genuinely cares about helping people. That's real leadership.,jessm,10,12,-9:00:00,11/16/25 12:03,11/16/25 12:03,
Maybe focus on your own platform instead of tearing others down,ashb12,10,9,-8:30:00,11/16/25 12:05,11/16/25 12:05,
Truth hurts but someone had to say it. Not everyone can be president material,mattwil,10,23,-8:15:00,11/16/25 12:06,11/16/25 12:06,
