body,actor,postID,likes,time,class,absTime,updateTime
You two are so cute together!,rachel_dorm,1,12,-179:30:00,,,
Good luck with your presentation Joan!,kevin_study,2,8,-164:30:00,,,
Sounds like fun! Glad you had a good time Maya,joanieb,3,5,-149:30:00,,,
You got this! Engineering projects are tough but rewarding,taylor_psych,4,4,-134:30:00,,,
Cannot wait to see your art! You're so talented,mayacares.rm,5,6,-119:30:00,,,
Bro you're so lucky to have someone to help improve,alex_college,6,23,-89:30:00,,,
Jim this is really inappropriate and hurtful. A supportive partner builds people up not tears them down publicly.,mayacares.rm,6,58,-89:00:00,,,
This is not how you talk about someone you love. Public criticism like this is emotional abuse.,kevin_study,6,45,-88:30:00,,,
Jim's just being honest. Sometimes people need constructive feedback,rachel_dorm,6,18,-87:30:00,,,
Research methods really opens your eyes to human behavior patterns,kevin_study,7,3,-74:30:00,,,
Community service is so important. Great job organizing that,rachel_dorm,8,5,-44:30:00,,,
